House ID,Built_Date,Priced_date,Garden,dock_dist,capital_dist,royalMarket_dist,guardingTower_dist,river_dist,renovation,dining,bedroom,bathroom,kingVisit,curse,blessing,farm_land,location,holy_tree,knight_house_dist,builder,Golden Grains
1848823488,1602,1609,0.0,138.600639,0.256239,69.486467,14.394903,63.109038,0.0,3.0,4.0,,0,0.0,160,1,0.0,1.0,10.505662,0.0,1470912.0
1848823492,1600,1612,1.0,16.254870999999998,26.882222,34.145238,101.052598,53.249336,0.0,2.0,4.0,,1,0.0,133,0,1.0,,37.249456,7.0,1241030.0
1848823497,1600,1608,0.0,6.555428,136.448973,78.44550799999999,88.480988,72.245533,0.0,3.0,,2.0,0,0.0,24,1,,1.0,146.553349,,838723.0
1848823502,1603,1611,0.0,79.72455,19.885265,92.69891700000001,22.395135999999997,8.059939,0.0,2.0,2.0,2.0,0,0.0,140,1,1.0,,29.921162,4.0,1267804.0
1848823505,1603,1610,0.0,101.541256,0.5195069999999999,3.605055,81.449646,35.706540999999994,0.0,3.0,2.0,2.0,0,0.0,159,2,1.0,1.0,10.855780000000001,2.0,1497166.0
1848823507,1603,1612,0.0,48.601612,7.575922,32.236989,47.180399,72.11176800000001,0.0,,2.0,4.0,0,0.0,152,1,0.0,1.0,18.378692,2.0,1428460.0
1848823509,1600,1607,0.0,32.624227000000005,1.95597,88.485147,77.692256,33.929217,0.0,3.0,2.0,2.0,0,0.0,158,2,2.0,1.0,12.389963999999999,8.0,1453568.0
1848823511,1603,1610,0.0,84.170405,15.776747,62.816373,51.870346000000005,27.379252,0.0,,3.0,3.0,0,0.0,144,2,2.0,1.0,26.231919,9.0,1381186.0
1848823514,1603,1611,0.0,10.998322,122.930753,63.794375,53.019891,17.045949,0.0,4.0,3.0,3.0,0,0.0,37,2,1.0,1.0,132.934312,0.0,1052137.0
1848823517,1601,1607,0.0,60.265361,2.8098669999999997,23.701329,89.658984,36.934979999999996,,3.0,3.0,3.0,0,0.0,157,1,2.0,1.0,13.188134,1.0,1473032.0
